Gate,Owner,Required evidence,Status,Signoff name,Date,Comments
Repo merge,Engineering lead,Release branch commit SHA and conflict log,Pending,,,
Backend tests,Engineering lead,Compile/unit/smoke results,Pending,,,
Frontend build,Frontend lead,npm install/build/dev logs,Pending,,,
Migrations staging,Data/platform lead,Migration logs and table verification,Pending,,,
SSO/JWT,IT/security lead,/identity/me and invalid-token tests,Pending,,,
Source refresh,MIS/source owners,R-series source checklist and adapter smoke,Pending,,,
Board/CXO UAT,Business sponsor,Role UAT script passed,Pending,,,
CCO/GM/AGM UAT,Collections leadership,Role UAT script passed,Pending,,,
Finance UAT,Finance lead,Role UAT script passed,Pending,,,
MIS/QCG/Admin UAT,MIS/QCG lead,Role UAT script passed,Pending,,,
Collector/RM UAT,Collections ops lead,Role UAT script passed,Pending,,,
RBAC row-level,Security/data owner,Role JWT endpoint matrix,Pending,,,
Audit export,Audit/compliance owner,CSV/JSON export sample,Pending,,,
Notification dedupe,Ops/platform owner,Suppression/dedupe smoke result,Pending,,,
No-silent-fallback,Data owner,Critical KPI missing-lineage block test,Pending,,,
Rollback/break-glass,Release manager,Rollback runbook and owner confirmation,Pending,,,
Production go/no-go,Executive sponsor,All prior gates complete or waived,Pending,,,
